τήν	ὁ	RA	----ASF-
γυναῖκα	γυνή	N-	----ASF-
αὐτοῦ	αὐτός	RP	----GSM-
καί	καί	C-	--------
οὐ	οὐ	D-	--------
ἐγίνωσκε(ν)	γινώσκω	V-	3IAI-S--
αὐτήν	αὐτός	RP	----ASF-
ἕως	ἕως	P-	--------
οὗ	ὅς	RR	----GSM-
ἔτεκε(ν)	τίκτω	V-	3AAI-S--
υἱόν	υἱός	N-	----ASM-
καί	καί	C-	--------
ἐκάλεσε(ν)	καλέω	V-	3AAI-S--
τό	ὁ	RA	----ASN-
ὄνομα	ὄνομα	N-	----ASN-
αὐτοῦ	αὐτός	RP	----GSM-
Ἰησοῦν	Ἰησοῦς	N-	----ASM-
τοῦ	ὁ	RA	----GSM-
δέ	δέ	C-	--------
Ἰησοῦ	Ἰησοῦς	N-	----GSM-
γεννηθέντος	γεννάω	V-	-APPGSM-
ἐν	ἐν	P-	--------
Βηθλέεμ	Βηθλέεμ	N-	----DSF-
τῆς	ὁ	RA	----GSF-
Ἰουδαίας	Ἰουδαία	N-	----GSF-
ἐν	ἐν	P-	--------
ἡμέραις	ἡμέρα	N-	----DPF-
Ἡρῴδου	Ἡρῴδης	N-	----GSM-
τοῦ	ὁ	RA	----GSM-
βασιλέως	βασιλεύς	N-	----GSM-
ἰδού	ἰδού	X-	--------
μάγοι	μάγος	N-	----NPM-
ἀπό	ἀπό	P-	--------
ἀνατολῶν	ἀνατολή	N-	----GPF-
παρεγένοντο	παραγίνομαι	V-	3AMI-P--
εἰς	εἰς	P-	--------
Ἱεροσόλυμα	Ἱεροσόλυμα	N-	----APN-
λέγοντες	λέγω	V-	-PAPNPM-
ποῦ	ποῦ	D-	--------
ἐστί(ν)	εἰμί	V-	3PAI-S--
ὁ	ὁ	RA	----NSM-
τεχθείς	τίκτω	V-	-APPNSM-
βασιλεύς	βασιλεύς	N-	----NSM-
τῶν	ὁ	RA	----GPM-
Ἰουδαίων	Ἰουδαῖος	A-	----GPM-
εἴδομεν	ὁράω	V-	1AAI-P--
γάρ	γάρ	C-	--------
αὐτοῦ	αὐτός	RP	----GSM-
τόν	ὁ	RA	----ASM-
ἀστέρα	ἀστήρ	N-	----ASM-
ἐν	ἐν	P-	--------
τῇ	ὁ	RA	----DSF-
ἀνατολῇ	ἀνατολή	N-	----DSF-
καί	καί	C-	--------
ἤλθομεν	ἔρχομαι	V-	1AAI-P--
προσκυνῆσαι	προσκυνέω	V-	-AAN----
αὐτῷ	αὐτός	RP	----DSM-
ἀκούσας	ἀκούω	V-	-AAPNSM-
δέ	δέ	C-	--------
ὁ	ὁ	RA	----NSM-
βασιλεύς	βασιλεύς	N-	----NSM-
Ἡρῴδης	Ἡρῴδης	N-	----NSM-
ἐταράχθη	ταράσσω	V-	3API-S--
καί	καί	C-	--------
