α	Alpha	alpha, the first letter of the Greek alphabet.
ταπεινός	lowly	low-lying; metaphorically, lowly, of low degree, brought low : Jas.1:9, 2Co.7:6 (cf.
ταπεινοφροσύνη	humility	(ταπεινόφρων) lowliness of mind, humility : Act.20:19, Eph.4:2, Php.2:3, Col.3:12, 1Pe.5:5; of a false humility, Col.2:18, 23 (rare outside of NT, but found in bad sense in FlJ, BJ, iv, 9, 2; also in
ταπεινόω	to humble	(ταπεινός), to make low : ὄρος (βουνόν), Luk.3:5 (LXX). Metaphorical, to humble, abase : Mat.18:4 23:12, Luk.14:11 18:14, 2Co.11:7 12:21, Php.2:8; pass., Mat.23:12, Luk.14:11 18:14, Php.4:12; id.
ταπείνωσις	lowliness	(ταπεινόω), abasement, humiliation, low estate : Luk.1:48, Act.8:33 " (LXX), Php.3:21, Jas.1:10 (Plat., Arist., and later writers).† (AS)
ταράσσω	to trouble	to disturb, trouble, stir up : primarily in physical sense (Hom., Eur.): τ. ὕδωρ, Jhn.1:5, Jhn.1:7. Metaphorical, of the mind (Æsch., Plat., al.), to trouble, disquiet, perplex : Act.15:24, Gal.1:7
ταραχή	disturbance	(ταράσσω), trouble, disturbance : τ. ὕδατος, Jhn.1:5. In pl. (as in cl.), tumults : Mrk.13:8, Rec.† (AS)
τάραχος	disturbance	(ταράσσω), later form of ταραχή (Xen., al.; see Thackeray, Gr., 159): Act.12:18 19:23.† (AS)
Ταρσεύς	of Tarsus	(Ταρσός), of Tarsus : Act.9:11 21:39.† (AS)
Ταρσός	Tarsus	Tarsus, a city of Cilicia : Act.9:30 11:25 22:3.† (AS)
ταρταρόω	hell: Tartarus	(Τάρταρος, a Greek name for the underworld, esp. the abode of the damned), to cast into hell : 2Pe.2:4 (see Mayor, in l).† (AS)
τάσσω	to appoint	primarily, in military sense, then generally, to draw up in order, arrange in place, assign, appoint, order : with dative (accusative) and inf. (Bl., § 72, 5), Act.15:2 18:2 (διατ-, WH) Act.22:10;
ταῦρος	bull	a bull : Mat.22:4, Act.14:13, Heb.9:13 10:4.† (AS)
ταῦτα	this	demonstr. pron. (related to ἐκεῖνος as hic to ille), this; as subst., this one, he; absol.: Mat.3:17, Mrk.9:7, Luk.7:44, 45, Jhn.1:15, Act.2:15, al.; expressing contempt (cl.), Mat.13:55, 56,
ταὐτά	thus	thus, in the same way
ταύταις	hence	hence, (to or with or by, etc.) these
ταύτῃ	her	- (towards or of) this
ταφή	burial (place)	(θάπτω), burial : Mat.27:7 (Hdt., al.; for other meanings, see LS, see word, Deiss., BS, 355 f., MM xxiv).† (AS)
τάφος	grave	(θάντω), a burial (Hom., al.). a grave, tomb (Res., Hdt., al.): Mat.23:27, 29 27:61, 64 27:66 28:1, Rom.3:13 " (LXX).† (AS)
τάχα	perhaps	(ταχύς), adv., (chiefly poët.), quickly, presently; perhaps : Rom.5:7, Phm 15.† (AS)
ταχέως	soon	(ταχύς) adv., quickly, hastily : Luk.14:21 16:6, Jhn.11:31, 1Co.4:19, Php.2:19, 24, 2Ti.4:9; with suggestion of rashness, Gal.1:6, 2Th.2:2, 1Ti.5:22.† (AS)
ταχινός	quick	poët. and late for ταχύς, swift : of swift approach, 2Pe.1:14 2:1.† (AS)
τάχιον	quicker	ταχύ (neut. of ταχύς), adv., quickly, speedily, forthwith : Mat.5:25 28:7-8, Mrk.9:39, Luk.15:22, Jhn.11:29, Rev.2:16 3:11 11:14 22:7, 12 22:2 o.
τάχιστα	quickest	ταχύ (neut. of ταχύς), adv., quickly, speedily, forthwith : Mat.5:25 28:7-8, Mrk.9:39, Luk.15:22, Jhn.11:29, Rev.2:16 3:11 11:14 22:7, 12 22:2 o.
τάχος	speed	swiftness, speed.
ταχύ	quickly	(neut. of ταχύς), adv., quickly, speedily, forthwith : Mat.5:25 28:7-8, Mrk.9:39, Luk.15:22, Jhn.11:29, Rev.2:16 3:11 11:14 22:7, 12 22:2 o.
ταχύς	quick	quick, swift, speedy : opposite to βραδύς, Ja 119.† (AS)
τε	and/both	enclitic copulative particle (= Lat. -que as καί = and, ac, atque, not very frequently in NT, more than two-thirds of the occurrences being in Ac. τέ solitarium, and, denoting a closer affinity than
τεῖχος	wall	a wall, esp. that about a town: Act.9:25, 2Co.11:33, Heb.11:30, Rev.21:12-19 † (AS)
τεκμήριον	clear proof	(τέκμαρ, a mark, sign), a sure sign, a positive proof : Act.1:1-26 (for exx., see MM, xxiv).† SYN. : ἔνδειγμα, q.v (AS)
τεκνίον	children	(dimin. of τέκνον), a little child : as a term of endearment, in voc. pl., Jhn.13:33, Gal.4:19, 1Jn.2:1 Jn 2:12 Jn 2:28 Jn 3:7 Jn 3:13 Jn 4:4 Jn 5:21.† (AS)
τεκνογονέω	to have children	to beget or bear children : 1Ti.5:14 (Anthol.).† (AS)
τεκνογονία	childbearing	child-bearing : 1Ti.2:15 (Arist.).† (AS)
τέκνον	child	(τίκτω), that which is begotten, born (cf.
τεκνοτροφέω	to raise children	to rear young (of bees, Arist.), to bring up children : 1Ti.5:10. † (AS)
τέκτων	craftsman	an artificer in wood, stone or metal, but esp. a carpenter (see MM, xxiv): Mat.13:55, Mrk.6:3.† (AS)
τέλειος	perfect	(τέλος), having reached its end, finished, mature, complete, perfect; of persons, primarily of physical development, full-grown, mature : Heb.5:14; ethically: Php.3:15; opposite to νήπιος (-άζειν),
τελειότης	perfection	(τέλειος), perfection, completeness : Col.3:14, Heb.6:1 (AS)
τελειόω	to perfect	(τέλειος), bring to an end, finish, accomplish, fulfil : Jhn.4:34, Act.20:24; of time, Luk.2:43, Jhn.5:36 17:4; pass., ἡ γραφή, Jhn.19:28. to bring to maturity or completeness, to complete, perfect;
τελείως	completely	(τέλειος), adv., completely, perfectly : 1Pe.1:13. † (AS)
τελείωσις	perfection	(τελειόω), fulfilment, completion, perfection : Luk.1:45, Heb.7:11.† (AS)
τελειωτής	finisher	(τελειόω), a consummator, finisher : Heb.12:2 (nowhere else).† (AS)
τελεσφορέω	to mature	(τέλος, φέρω) of plants, to bring fruit to perfection (Theophr.): Luk.8:14 of females, to bear perfect offspring (Artemid.; 4Mac, l.with).† (AS)
τελευτάω	to decease	(τελευτή), trans., to complete, finish; esp. τ. τ. αἰῶνα, τ. βίον, to complete life, to die (Æsch., Hdt., al.). Intrans., to come to an end, hence, to die (Hdt., al.): Mat.2:19 9:18 22:25, Mrk.9:48,
τελευτή	death	(τελέω), a finishing. an end : τ. βίου (Hdt., al.): also without βίου, the end of life, death (Hdt., Plat., al.): Mat.2:15. † (AS)
τελέω	to finish	(τέλος), to bring to an end, complete, finish : τ. δρόμον, 2Ti.4:7; τ. λόγους, Mat.7:28 19:1 26:1; τ. παραβολάς, Mat.13:53; τ. πόλεις, Mat.10:23; pass., Rev.15:8 20:3, 5 20:7; with ptcp., Mat.11:1.
τέλος	goal/tax	end : most frequently of the termination or limit of an act or state (in NT also of the end of a period of time, cl. τελευτή), Luk.1:33, 1Co.10:11, 2Co.3:13, 1Pe.4:7; by meton., of one who makes an
τελώνης	tax collector	(τέλος, ὠνέομαι) a farmer of taxes (Let. publicanus). A subordinate of the former, who collected taxes or tolls in a particular district, a tax-gatherer (EV, publican): Mat.5:46 10:3, Luk.3:12 5:27,
τελώνιον	tax booth	(τελώνης), a custom house (so in M Gr. ), tollhouse, place of toll: Mat.9:9, Mrk.2:14, Luk.5:27.† (AS)
τέρας	wonders	a wonder, marvel : in NT always pl., τ. κ. σημεῖα, Mat.24:24, al. (see: σημεῖον) (AS)
Τέρτιος	Tertius	Tertius : Rom.16:22. † (AS)
Τέρτυλλος	Tertullus	Tertullus : Act.2:1-2. † (AS)
τεσσαράκοντα	forty	forty : Mat.4:2, Mrk.1:13, Luk.4:2, Jhn.2:20, Act.1:3, al (AS)
τεσσαρακονταετής	forty years	(Τ, -έτης; Rec. τεσσαρ-, see supr.), -ές of forty years, forty years old : Act.7:23 13:18.† (AS)
τέσσαρες	four	(and Ion. and late -ερεν, and late accusative -εν; see WH, App., 150; M, Pr., 36, 45 f.), οἱ, αἱ, -αρα, τά, genitive, -ων, four : Mat.24:31, Mrk.2:3, Luk.2:37, Jhn.11:17 19:23, Act.10:11, Rev.4:4, 6,
τεσσαρεσκαιδέκατος	fourteenth	fourteenth : Act.27:27, 33.† (AS)
τεταρταῖος	fourth	(τέταρτος), of or on the fourth day : τ. εἶναι (Hdt., τ. γενέσθαι), to be four days dead, Jhn.11:39. † (AS)
τέταρτος	fourth	fourth : Mat.14:25, Mrk.6:48, Act.10:30, Rev.4:7 6:7-8 8:12 16:8 21:19.† (AS)
τετράγωνος	square	(τετρα-, see supr., + γωνία), square : Rev.21:16 (Hdt., Plat., al.).† (AS)
τετράδιον	squad of four	a quarternion, a group of four : στρατιωτῶν, Act.12:4 (Philo). (AS)
τετρακισχίλιοι	four thousand	four thousand : Mat.15:38 16:10, Mrk.8:9, 20, Act.21:38.† (AS)
τετρακόσιοι	four hundred	four hundred : Act.5:36 7:6 " (LXX) 13:20, Gal.3:17.† (AS)
τετράμηνος	four months	of four months, four months; as subst., τ. (sc. ὥρα, but neut. in Rec.), Jhn.4:35 (Thuc., al.).† (AS)
τετραπλόος	fourfold	fourfold : Luk.19:8. † (AS)
τετράπους	four-footed	four-footed : of beasts, neut. pl., Act.10:12 11:6, Rom.1:23.† (AS)
τετραρχέω	be a tetrarch	(τετραάρχης), to be tetrarch : with genitive, Luk.3:1 (FlJ, BJ, iii, 10, 7).† (AS)
τετράρχης	tetrarch	(τετρα- in corp. = τέτορα, Doric for τέσσαρα, + ἄρχω), a tetrarch, i.e. prop., the governor of a fourth part of a region (Strab.); any petty ruler (Plut.); in NT, of Herod Antipas: Mat.14:1, Luk.3:19
τεφρόω	to turn to ashes	(τέφρα, ashes; Wis.2:3, al.), to burn to ashes : 2Pe.2:6. † (AS)
τέχνη	skill	art, craft, trade : Act.17:29 18:3, Rev.18:22 (WH, R, mg., om.).† (AS)
τεχνίτης	craftsman	(τέχνη), a craftsman, artificer : Act.19:24, 38, Rev.18:22; of God ( Wis.13:1 ), Heb.11:10.† SYN. : δημιουργός, which see, and cf.
τήκω	to melt	trans., to melt, melt down; pass., to melt, melt away : 2Pe.3:12. † (AS)
τηλαυγῶς	clearly	adv. (τῆλε, afar, + αὐγή, radiance), poët. and in late prose, at a distance clearly : Mrk.8:25 (W, mg., δηλαυγῶς).† (AS)
τηλικοῦτος	so great	(altern. of τηλικόσδε, -ήδε, -όνδε, strength­ened form of τηλίκος), of persons, of such an age, so old; so young.
τηρέω	to keep: observe	to watch over, guard, keep, preserve : Mat.27:36, Act.16:23, al.; ἑαυτόν, 2Co.11:9, 1Ti.5:22, Jas.1:27, Ju 21; before εἰς, Jhn.12:7, Act.25:21, 1Pe.1:4, 2Pe.2:4 2:9 3:7, Ju 6; ἐν, Jhn.17:11-12, Ju
τήρησις	jail/keeping	(τηρέω), a watching, hence, imprisonment, ward (see Deiss., BS, 267): Act.4:3 5:18. a keeping : τ. ἐντολῶν (cf.
Τιβεριάς	(Sea of) Tiberias	(Τιβέριος), Tiberias, a city of Galilee: Jhn.6:23, Jhn.6:1 21:1 (cf Γεννησσαρέτ, Γαλιλαία).† (AS)
Τιβέριος	Tiberius	the Emperor Tiberius : Luk.3:1. † (AS)
τίθημι	to place	causative of κεῖμαι, to place, lay, set : Luk.6:48, Rom.9:33, al.; of laying the dead to rest, Mrk.15:47, Luk.23:55, Jhn.11:34, Act.7:16, al.; before ἐπί, with genitive, Luk.8:16, Jhn.19:19, al.; id.
τίκτω	to give birth to	prop., of parents, to beget, bring forth, but esp. the latter, and so always in NT: absol., Luk.1:57 2:6, Jhn.16:21, Gal.4:27 " (LXX) (see M, Pr., 127), Rev.12:2, 4; υἱόν, Mat.1:21, 23 1:25 Luk.1:31
τίλλω	to pluck	to pluck, pluck off : στάχυας, Mat.12:1, Mrk.2:23, Luk.6:1.† (AS)
Τιμαῖος	Timaeus	Timæus : Mrk.10:46. † (AS)
τιμάω	to honor	(τιμή), to fix the value, price : with accusative of person(s), of Christ, Mat.27:9 (LXX). to honour : with accusative of person(s), Mat.15:4 (LXX), Mat.15:5, 8" (LXX) Mat.19:19 (LXX), Mrk.7:6, 10
τιμή	honor	a valuing, hence, objectively; a price paid or received : with genitive of person(s), Mat.27:9; with genitive of thing(s), Act.5:2-3; pl., Act.4:34 19:19; τ. αἵματος, Mat.27:6; ἠγοράσθητε τιμῆς,
τίμιος	precious	(τιμή), valued, hence, precious, costly, highly valued : primarily, of money value, λίθος, Rev.17:4 18:12, 16 21:19; pl., 1Co.3:12; compar., -ώτεφος, 1Pe.1:7, Rec.; superl., -ώτατος, Rev.18:12 21:11;
τιμιότης	wealth	(τίμιος), preciousness, worth : Rev.18:19 (cf.
Τιμόθεος	Timothy	Timothy : Act.17:14-15 18:5, Rom.16:21, al. (AS)
Τίμων	Timon	Timon : Act.6:5. † (AS)
τιμωρέω	to punish	(τιμή + οὖρος, a guardian) to help. to avenge; mid., to avenge oneself on, punish (Hdt., Eur., al): act, in this sense, Act.22:5 26:11 (see MM, xxiv).† (AS)
τιμωρία	punishment	(τιμωρέω), help, assistance. vengeance, punishment : Heb.10:29. † SYN. : κόλασις, which see, and cf.
τίνω	to pay	to pay : t. δίκην (cf.
τις	one	enclitic indefinite pron., related to interrog. τίς as πού, πως, ποτέ to ποῦ, πῶς, πότε. As subst., one, a certain one : Luk.9:49, Jhn.11:1, Act.5:25, al.; pl., τίνες, certain, some : Luk.13:1,
τίς	which?	who, which, what?; in neut., which, what?, used both in direct and in indirect questions.
τίτλος	title	(Lat. titulus), a title, inscription : Jhn.19:19-20 (in Christian Inscr., epitaph, see MM. xxiv).† (AS)
Τίτος	Titus	Titus; St. Paul's disciple and companion: 2Co.2:13 7:6 7:13-14 8:6 8:16 8:23 12:18, Gal.2:1, 3, 2Ti.4:10, Tit.1:4, subscr., Rec. (Τῖτος). One surnamed Justus : Act.18:7, RV (T, WH, Τίτιος).† (AS)
τοί	certainly	1. enclit. Particle, serving to express belief in an assertion, let me tell you, surely, verily, used to express an inference, then, consequently, (Homer); and in [ variant dates Tragica Adespota, to
τοιγαροῦν	therefore	an inferential particle, wherefore then, so therefore : 1Th.4:8, Heb.12:1 (Hat., Plat., al.).† (AS)
τοίνυν	then	an inferential particle, accordingly, therefore : as in cl., after the first word in a sentence, 1Co.9:26; accusative to later usage, at the beginning, Luk.20:25, Heb.13:13.† (AS)
τοιόσδε	such as this	antecedent to οἷος, as ἀοιδοῦ τοιοῦδ᾽ οἷος ὅδ᾽ ἐστί of such a minstrel as is this one, (Odyssey by Homer); absolute, ἀλλ᾽ ὅδ᾽ ἐγὼ τοιόσδε here am I such as you see, (Odyssey by Homer):—;also, so
τοιοῦτος	such as this	(as usually in Att.. prose.
τοῖχος	wall	a wall, esp. of a house: figuratively, Act.23:3 (cf. τεῖχος).† (AS)
τόκος	interest	(τίκτω), a bringing forth, birth; offspring.
τολμάω	be bold	to have courage, to venture, dare, be bold : absol, 2Co.11:21; before ἐπί, 2Co.10:2; with inf. (Bl., § 69, 4), Mat.22:46, Mrk.12:34, Luk.20:40, Jhn.21:12, Act.5:13 7:32, Rom.15:18, 1Co.6:1,
τολμηρότερον	more boldly	adv., (τολμηρός, bold, daring), boldly : compar., -ότερως (T, Rec. -ότερον), Rom.15:15. † (AS)
τολμητής	bold man	(τολμάω), a bold, daring man : 2Pe.2:10 (Thuc.).† (AS)
τομώτερος	sharper	(τέμνω), sharp : compar., -ώτερος, metaphorically, Heb.4:12. † (AS)
τόξον	bow	a bow : Rev.6:2. † (AS)
τοπάζιον	topaz	(and τόπαζος, ὁ), topaz : Rev.21:20 (see Swete, in l).† (AS)
τόπος	place	place : Luk.4:37 10:1, 32 Jhn.5:13 6:10, Act.12:17, 1Co.1:2, al.; τ. ἅγιος (cf.
τοσοῦτος	so great	( Heb.7:22 ) and (elsewhere, as usually in Attic) -οῦτον, correlat. of ὅσος, of quantity, size, number, so great, so much, pl., so many : Mat.8:10 Luk.7:9, Heb.12:1, Rev.18:7, 16; of time, so long,
τότε	then	then, at that time; of concurrent events : Mat.2:17 3:5 and freq., Rom.6:21; before ptcp., Mat.2:16, Gal.4:8; opposite to νῦν, Gal.4:29, Heb.12:26; ὁ τ. κόσμος, 2Pe.3:6; of consequent events, then,
τοῦ	his	- sometimes used for G5127; of this person
τοὐναντίον	instead	by crasis for τὸ ἐνανίον, neut. accusative, used adverbially, on the contrary, contrariwise : 2Co.2:7, Gal.2:7, 1Pe.3:9.† (AS)
τοὔνομα	by name	by crasis for τὸ ὄνομα, accusative absol., by name : Mat.27:57. † (AS)
τουτέστι	that is	that is that is to say, by this we mean
τοῦτο	that	demonstr. pron. (related to ἐκεῖνος as hic to ille), this; as subst., this one, he; absol.: Mat.3:17, Mrk.9:7, Luk.7:44, 45, Jhn.1:15, Act.2:15, al.; expressing contempt (cl.), Mat.13:55, 56,
τούτοις	to these	demonstr. pron. (related to ἐκεῖνος as hic to ille), this; as subst., this one, he; absol.: Mat.3:17, Mrk.9:7, Luk.7:44, 45, Jhn.1:15, Act.2:15, al.; expressing contempt (cl.), Mat.13:55, 56,
τοῦτον	this	this (person, as objective of verb or preposition)
τούτου	of this	demonstr. pron. (related to ἐκεῖνος as hic to ille), this; as subst., this one, he; absol.: Mat.3:17, Mrk.9:7, Luk.7:44, 45, Jhn.1:15, Act.2:15, al.; expressing contempt (cl.), Mat.13:55, 56,
τούτους	these	demonstr. pron. (related to ἐκεῖνος as hic to ille), this; as subst., this one, he; absol.: Mat.3:17, Mrk.9:7, Luk.7:44, 45, Jhn.1:15, Act.2:15, al.; expressing contempt (cl.), Mat.13:55, 56,
τούτῳ	to this	demonstr. pron. (related to ἐκεῖνος as hic to ille), this; as subst., this one, he; absol.: Mat.3:17, Mrk.9:7, Luk.7:44, 45, Jhn.1:15, Act.2:15, al.; expressing contempt (cl.), Mat.13:55, 56,
τούτων	of these	demonstr. pron. (related to ἐκεῖνος as hic to ille), this; as subst., this one, he; absol.: Mat.3:17, Mrk.9:7, Luk.7:44, 45, Jhn.1:15, Act.2:15, al.; expressing contempt (cl.), Mat.13:55, 56,
τράγος	he-goat	a he-goat : Heb.9:12-13, 19 10:4.† (AS)
τράπεζα	table	a table, dining-table : Mat.15:27, Mrk.7:28, Luk.16:21 19:23 22:21, 30; of the table of shewbread, Heb.9:2. By meton., of food provided (see DB, iv, 670 a): Act.16:34, Rom.11:9 " (LXX) 1Co.10:21;
τραπεζίτης	money lender	(τράπεζα), a money­changer, banker : Mat.25:27 (Dem., Plut., al.).† (AS)
τραῦμα	wound	a wowed : Luk.10:34. † (AS)
τραυματίζω	to wound	(τραῦμα), to wound : Luk.20:12, Act.19:16.† (AS)
τραχηλίζω	to lay bare	(τράχηλος), prop., of wrestlers, to take by the throat, hence (Philo), to prostrate, overthrow.
τράχηλος	neck	the neck : Mat.18:6, Mrk.9:42, Luk.17:2; ἐπιπεσεῖν ἐπὶ τὸν τ., to embrace ( Gen.46:29 ), Luk.15:20, Act.20:37. Metaphorical, ὑποθεῖναι τὸν ἑαυτοῦ τ. (for similar phrase in π., see Zorell, see word),
τραχύς	rough	rough : ὁδοί (Is, l.with), Luk.3:5 (LXX); τοποί (i.e. rocky), Act.27:29. † (AS)
Τραχωνῖτις	Trachonitis	(τραχύς) Trachonitis, a rough region S. of Damascus (in FlJ, sometimes ἡ Τ., sometimes ό Τράχων): ἡ Τ. χώρα, Luk.3:1. † (AS)
τρεῖς	Three	three : Mat.12:40, al.; μετὰ τ. ἡμέρας = τῇ τρίτῃ ἡ., Mrk.10:34, al. (cf.
τρέμω	to tremble	to tremble, esp. with fear: Mrk.5:33, Luk.8:47; with ptcp. (in cl more frequently with inf.), 2Pe.2:10. † (AS)
τρέφω	to feed	to make to grow, bring up, rear (cl.; 1Ma.3:33 1Mac 11:39 ): Luk.4:16 (T, WH, mg., ἀνατ-) to nourish, feed : Mat.6:26 25:37, Luk.12:24, Act.12:20, Rev.12:6, 14; of a mother, to give suck, Luk.23:29;
τρέχω	to run	to run : Mrk.5:6, Jhn.20:2, 4, 1Co.9:24 9:26; with inf., Mat.28:8; before ἐπί, Luk.24:12 R, mg., om.]; εἰς, Rev.9:9; ptcp., δραμών, with indic., Mat.27:48, Mrk.15:36, Luk.15:20. Metaphorical, from
τριάκοντα	thirty	(τρεῖς), thirty : Mat.13:8, al. (AS)
τριακόσιοι	three hundred	three hundred : Mrk.14:5, Jhn.12:5.† (AS)
τρίβολος	thistle	a thistle : Mat.7:16, Heb.6:8.† (AS)
τρίβος	path	(τρίβω), a beaten track, a path : Mat.3:3, Mrk.1:3, Luk.3:4 " (LXX).† (AS)
τριετία	three years	(τρεῖς, ἔτος), a period of three years : Act.20:31. † (AS)
τρίζω	to gnash	prop., of sounds by animals, to cry, chirp, etc.
τρίμηνος	three months	(τρεῖς, μήν) of three months; as subst., τὸ τ. (= cl. ἡ τ.), a space of three months (Polyb., al.; LXX): Heb.11:23. † (AS)
τρίς	three times	(τρεῖς), adv., thrice : Mat.26:34, 75, Mrk.14:30, 72 Luk.22:34, 61 Jhn.13:38, 2Co.11:25 12:8; ἐπὶ τ., Act.10:16 11:10.† (AS)
τρίστεγος	third story	of three stories : τὸ τ. (sc. ὄκημα), the third story, Act.20:9 (Dion., FlJ, al.).† (AS)
τρισχίλιοι	three thousand	three thousand, (Iliad by Homer), etc. (ML)
τρίτος	third	the third : Mat.22:26, Mrk.12:21 15:25, Luk.24:21, Act.2:15, al.; τῇ τ. ἡμέρᾳ (i.e. the next day but one: Xen., al.; see Field, Notes, 11 ff.), Mat.16:21, Luk.24:46, al.; substantively, accusative
τρίχινος	of hair	(θρίξ), of hair : στόκος, Rev.6:12 (Xen., Plat., al.).† (AS)
τρόμος	trembling	(τρέμω), trembling, quaking, esp. from fear: Mrk.16:8; φόβος κ. τ. (as in Gen.9:2, Exo.15:16, Deu.2:25, Isa.19:16, al.), 1Co.2:3, 2Co.7:15, Eph.6:5, Php.2:12.† (AS)
τροπή	turning	(τρέπω), a turning : esp. of the revolution of heavenly bodies, figuratively, Jas.1:17 (see: ἀποσκίασμα).† (AS)
τρόπος	way	(τρέπω), a way, manner, fashion : Mat.23:37, Luk.13:34, Act.1:11 7:28, 2Ti.3:8, Ju 7; καθ᾽ ὃν τ., Act.15:11 27:25 (ef.
τροποφορέω	to put up with	to bear another's manners (R, txt., suffered he their manners): with accusative of person(s), Act.13:18 (Rec., WH, R, txt.; ἐτροφο-, T, R, mg.). = τροφοφορέω (which see), (see Kühner3, I, 276): Ac,
τροφή	food	(τρέφω), nourishment, food : Mat.3:4 6:25 10:10 24:45, Luk.12:23, Jhn.4:8, Act.2:46 9:19 14:17 27:33-34, 36 27:38 Jas.2:15. Metaphorical: Heb.5:12, 14.† (AS)
Τρόφιμος	Trophimus	Trophimus : Act.20:4 21:29, 2Ti.4:20.† (AS)
τροφός	nursing mother	(τρέφω), a nurse : 1Th.2:7. † (AS)
τροχιά	track	(τροχός), the track of a wheel, hence, a track, path : figuratively, Heb.12:13 (LXX) † (AS)
τροχός	course/wheel	(τρέχω), a wheel : Jas.3:6 (see Mayor, Hort, in l).† (AS)
τρύβλιον	bowl	a bowl, dish : Mat.26:23, Mrk.14:20 (Hippocr., Aristoph., Pint., al.).† (AS)
τρυγάω	to harvest	to gather in : with accusative, of the fruit, Luk.6:44, Rev.14:18; of that from which it is gathered, Rev.14:19. † (AS)
τρυγών	dove	(τρύζω, to murmur, coo), a turtle-dove : Luk.2:24. † (AS)
τρυμαλιά	hole	(τρύω, to wear away), = τρύμη, a hole : τ. ῥαφίδος, eye of a needle, Mrk.10:25. † SYN. : τρῆμα, τρύπημα (AS)
τρύπημα	hole	(τρυπάω, to bore) a hole : τ. ῥαφιδος, eye of a needle, Mat.19:24 (WH, txt., τρῆμα).† SYN. : τρῆμα, τρυμαλιά (AS)
Τρύφαινα	Tryphaena	Tryphæna : Rom.16:12 (see Lft., Phi., 175 f.; MM, xxv).† (AS)
τρυφάω	to self-indulge	(τρυφή), to live daintily, luxuriously, to fare sumptuously : Jas.5:5 (cf. ἐν-τρυφάω).† SYN. : σπαταλάω (which see), στρηνιάω (AS)
τρυφή	self-indulgence	softness, daintiness, luxuriousness : Luk.7:25, 2Pe.2:13.† (AS)
Τρυφῶσα	Tryphosa	Tryphosa : Rom.16:12 (see Lft., Phi., 175 f.).† (AS)
Τρωάς	Troas	Troas, a city near the Hellespont : Act.16:8, 11 20:5-6, 2Co.2:12, 2Ti.4:13.† (AS)
Τρωγύλλιον	Trogyllium	(also written -γύλιον, -γίλιον, -ία, see Bl., § 6, 3), -ου Trogyllium, a city of Ionia : Act.20:15 (WH, txt., R, txt., om.).† (AS)
τρώγω	to eat	prop., of animals, to gnaw, munch, crunch (Hom., al.). Of men, to eat raw food, as vegetables, nuts, etc. (Hdt., al.). In late vernacular, simply to eat (= ἐσθίω): Mat.24:38, Jhn.6:54, 56-58 13:18
τυγχάνω	to obtain/happen	Trans. to hit (opposite to ἁμαρτάνω, to miss the mark : Hom., Xen., al.). to hit upon, light upon; of persons, to meet with, fall in with : absol., ptcp., ὁ τυχών, a chance person, anyone (Lat.
τυμπανίζω	to torture	(τύμπανον, a kettle-drum), to beat a drum. to torture by beating, beat to death (cf.
τύπος	mark/example	(τύπτω), the mark of a blow : τῶν ἥλων, Jhn.20:25. An impression, impress, the stamp made by a die; hence, a figure, image : Act.7:43 (LXX). form (Plat.): Rom.6:17; the sense or substance of a letter
τύπτω	to strike	to strike, smite, beat : with accusative, Mat.24:49, Mrk.15:19, Luk.12:45, Act.18:17 21:32 23:2-3; of mourners, τὰ στήθη, Luk.18:13 23:48; ἐπὶ τ. σιαγόνα, Luk.6:29; εἰς τ. κεφαλήν, Mat.27:30.
Τύραννος	Tyrannus	1. an absolute sovereign, unlimited by law or constitution, (Herdotus Historicus), etc.: not applied to old hereditary sovereignties βασιλεῖαι); such as those of (Homer) or of Sparta; for the term
τυρβάζω	to upset	to disturb, trouble : pass., Luk.10:41, Rec. (WH, R, θορυβάζω).† (AS)
Τύριος	Tyre	of Tyre, Tyrian, (Herdotus Historicus), etc. (ML)
Τύρος	Tyre	Tyre, a maritime city of Phænicia : Mrk.7:31, Act.21:3, 7; Τ. κ, Σιδών, Mat.11:21-22 15:21, Mrk.3:8 7:24, Luk.6:17 10:13-14.† (AS)
τυφλός	blind	blind : as subst., ὁ τ., Mat.9:27, Mrk.8:22, Luk.4:18 " (LXX), Jhn.5:3, al.
τυφλόω	to blind	(τυφλός), to blind, make blind : metaphorically, Jhn.12:40 (LXX, καμμύω), 2Co.4:4, 1Jn.2:11.† (AS)
τυφόω	be conceited	(τῦφος, smoke; metaphorically, conceit), prop., to wrap in smoke; used only metaphorically, to puff up, becloud with pride : pass., 1Ti.3:6 6:4, 2Ti.3:4 (Dem., Arist., al.).† (AS)
τύφω	to smoulder	(τῦφος, smoke), to raise a smoke; pass., to smoke : Mat.12:20 (LXX, καπνιζόμενον).† (AS)
τυφωνικός	tempestuous	(τῦφων, a hurricane, typhoon) tempestuous : Act.27:14. † (AS)
Τυχικός	Tychicus	Tychicus : Act.20:4, Eph.6:21, Col.4:7, 2Ti.4:12, Tit.3:12.† (AS)
ὑακίνθινος	dark blue	(ὑάκινθος), of hyacinth, hyacinthine (see: ὑάκινθος), "doubtless meant to describe the blue smoke of a sulphurous flame" (Swete): Rev.9:17 (Hom., Eur., al.).† (AS)
ὑάκινθος	hyacinth	hyacinth; in cl., a flower, prob. the dark blue iris; in late writers, a precious stone of the same colour, perhaps the sapphire : Rev.21:20 (Phil., FlJ, al.).† (AS)
ὑάλινος	glass	(ὕαλος), of glass, glassy Rev.4:6 15:2.† (AS)
